seat_no,prn,centre,total_gradepoints,sgpi,status,year_of_admission,clg_id,gender,cgpa,marks_in_phy,marks_in_chem,marks_inmaths
5201571,2.02E+15,Mumbai,155,7.05,Successful ,2019,10,M,7.05,46,47,49
5201572,2.02E+15,Mumbai,143,6.5,Successful ,2019,10,M,6.5,46,49,48
5201573,2.02E+15,Mumbai,178,8.09,Successful ,2019,10,M,8.09,50,45,38
5201574,2.02E+15,Mumbai,146,6.64,Successful ,2019,10,M,6.64,41,47,37
5201575,2.02E+15,Mumbai,181,8.23,Successful ,2019,10,M,8.23,41,49,37
5201576,2.02E+15,Mumbai,170,7.73,Successful ,2019,10,M,7.73,49,50,40
5201577,2.02E+15,Mumbai,175,7.95,Successful ,2019,10,M,7.95,35,47,41
5201578,2.02E+15,Mumbai,168,7.64,Successful ,2019,10,M,7.64,50,48,37
5201579,2.02E+15,Mumbai,152,6.91,Successful ,2019,10,M,6.91,46,46,42
5201580,2.02E+15,Mumbai,183,8.32,Successful ,2019,10,M,8.32,44,50,50
5201581,2.02E+15,Mumbai,127,5.77,Successful ,2019,10,M,5.77,40,48,45
5201582,2.02E+15,Mumbai,0,0,Unsuccessful ,2019,10,M,0,41,47,49
5201583,2.02E+15,Mumbai,139,6.32,Successful ,2019,10,M,6.32,41,45,44
5201584,2.02E+15,Mumbai,0,0,Unsuccessful ,2019,10,M,0,44,47,36
5201585,2.02E+15,Mumbai,128,5.82,Successful ,2019,10,M,5.82,35,46,36
5201586,2.02E+15,Mumbai,178,8.09,Successful ,2019,10,M,8.09,40,45,38
5201587,2.02E+15,Mumbai,163,7.41,Successful ,2019,10,M,7.41,49,46,37
5201588,2.02E+15,Mumbai,0,0,Unsuccessful ,2019,10,M,0,42,48,50
5201589,2.02E+15,Mumbai,193,8.77,Successful ,2019,10,M,8.77,37,47,40
5201590,2.02E+15,Mumbai,182,8.27,Successful ,2019,10,F,8.27,49,46,43
5201591,2.02E+15,Mumbai,0,0,Unsuccessful ,2019,10,F,0,40,47,40
5201592,2.02E+15,Mumbai,0,0,RR ,2019,10,M,0,45,48,36
5201593,2.02E+15,Mumbai,0,0,RR ,2019,10,M,0,47,49,36
5201594,2.02E+15,Mumbai,0,0,RR ,2019,10,M,0,48,50,42
5201595,2.02E+15,Mumbai,208,9.45,Successful ,2019,10,F,9.45,48,49,42
5201596,2.02E+15,Mumbai,175,7.95,Successful ,2019,10,M,7.95,50,46,42
5201597,2.02E+15,Mumbai,173,7.86,Successful ,2019,10,M,7.86,47,47,44
5201598,2.02E+15,Mumbai,173,7.86,Successful ,2019,10,M,7.86,46,49,48
5201599,2.02E+15,Mumbai,178,8.09,Successful ,2019,10,M,8.09,48,49,35
5201600,2.02E+15,Mumbai,0,0,Unsuccessful ,2019,10,M,0,45,45,35
5201601,2.02E+15,Mumbai,170,7.73,Successful ,2019,10,M,7.73,48,47,50
5201602,2.02E+15,Mumbai,193,8.77,Successful ,2019,10,M,8.77,42,46,43
5201603,2.02E+15,Mumbai,205,9.32,Successful ,2019,10,M,9.32,50,46,43
5201604,2.02E+15,Mumbai,199,9.05,Successful ,2019,10,M,9.05,37,46,36
5201605,2.02E+15,Mumbai,211,9.59,Successful ,2019,10,M,9.59,39,49,38
5201606,2.02E+15,Mumbai,184,8.36,Successful ,2019,10,M,8.36,35,45,50
5201607,2.02E+15,Mumbai,177,8.05,Successful ,2019,10,M,8.05,35,49,37
5201608,2.02E+15,Mumbai,168,7.64,Successful ,2019,10,M,7.64,38,46,46
5201609,2.02E+15,Mumbai,0,0,Unsuccessful ,2019,10,M,0,45,49,47
5201610,2.02E+15,Mumbai,175,7.95,Successful ,2019,10,M,7.95,36,50,50
5201611,2.02E+15,Mumbai,182,8.27,Successful ,2019,10,F,8.27,41,50,38
5018239,2.02E+15,Kalyan,160,7.27,Successful ,2020,1118,M,7.27,35,49,40
5018240,2.02E+15,Kalyan,163,7.41,Successful ,2020,1118,M,7.41,38,45,37
5018241,2.02E+15,Kalyan,190,8.64,Successful ,2020,1118,F,8.64,48,50,37
5018242,2.02E+15,Kalyan,160,7.27,Successful ,2020,1118,M,7.27,44,47,44
5018243,2.02E+15,Kalyan,169,7.68,Successful ,2020,1118,M,7.68,47,46,40
5018244,2.02E+15,Kalyan,0,0,Unsuccessful ,2020,1118,M,0,37,45,40
5018245,2.02E+15,Kalyan,160,7.27,Successful ,2019,1118,M,7.27,47,49,39
5018246,2.02E+15,Kalyan,159,7.23,Successful ,2020,1118,M,7.23,37,45,39
5018247,2.02E+15,Kalyan,154,7,Successful ,2020,1118,F,7,40,48,43
5018248,2.02E+15,Kalyan,175,7.95,Successful ,2020,1118,F,7.95,50,49,46
5018249,2.02E+15,Kalyan,166,7.55,Successful ,2020,1118,F,7.55,35,47,42
5018250,2.02E+15,Kalyan,0,0,Unsuccessful ,2020,1118,M,0,49,50,45
5018251,2.02E+15,Kalyan,148,6.73,Successful ,2020,1118,M,6.73,37,49,41
5018252,2.02E+15,Kalyan,145,6.59,Successful ,2020,1118,M,6.59,43,46,38
5018253,2.02E+15,Kalyan,0,0,Unsuccessful ,2020,1118,M,0,49,47,42
5018254,2.02E+15,Kalyan,0,0,Unsuccessful ,2020,1118,M,0,39,45,46
5018255,2.02E+15,Kalyan,0,0,Unsuccessful ,2020,1118,M,0,42,48,45
5018256,2.02E+15,Kalyan,0,0,Unsuccessful ,2020,1118,M,0,50,50,45
5018257,2.02E+15,Kalyan,0,0,Unsuccessful ,2020,1118,M,0,45,45,50
5018258,2.02E+15,Kalyan,0,0,Unsuccessful ,2020,1118,M,0,49,45,35
5018259,2.02E+15,Kalyan,164,7.45,Successful ,2020,1118,M,7.45,42,45,50
5018260,2.02E+15,Kalyan,172,7.82,Successful ,2020,1118,F,7.82,35,46,44
5018261,2.02E+15,Kalyan,158,7.18,Successful ,2020,1118,M,7.18,43,46,37
5018262,2.02E+15,Kalyan,160,7.27,Successful ,2020,1118,M,7.27,41,50,50
5018263,2.02E+15,Kalyan,0,0,Unsuccessful ,2020,1118,M,0,49,47,47
5018264,2.02E+15,Kalyan,152,6.91,Successful ,2020,1118,M,6.91,40,47,44
5018265,2.02E+15,Kalyan,160,7.27,Successful ,2019,1118,M,7.27,38,46,40
5018266,2.02E+15,Kalyan,148,6.73,Successful ,2020,1118,M,6.73,40,50,41
5018267,2.02E+15,Kalyan,160,7.27,Successful ,2020,1118,M,7.27,39,48,48
5018268,2.02E+15,Kalyan,160,7.27,Successful ,2020,1118,M,7.27,39,48,50
5018269,2.02E+15,Kalyan,177,8.05,Successful ,2020,1118,F,8.05,41,45,40
5018270,2.02E+15,Kalyan,187,8.5,Successful ,2020,1118,M,8.5,46,46,35
5018271,2.02E+15,Kalyan,163,7.41,Successful ,2020,1118,M,7.41,35,47,37
5018272,2.02E+15,Kalyan,156,7.09,Successful ,2020,1118,M,7.09,39,48,43
5018273,2.02E+15,Kalyan,168,7.64,Successful ,2020,1118,F,7.64,42,47,50
5018274,2.02E+15,Kalyan,162,7.36,Successful ,2020,1118,M,7.36,35,45,38
5018275,2.02E+15,Kalyan,162,7.36,Successful ,2020,1118,F,7.36,43,49,48
5018276,2.02E+15,Kalyan,166,7.55,Successful ,2020,1118,F,7.55,46,47,42
5018277,2.02E+15,Kalyan,160,7.27,Successful ,2020,1118,M,7.27,45,50,48
5018278,2.02E+15,Kalyan,0,0,Unsuccessful ,2020,1118,M,0,48,50,41
5018494,2.02E+15,Panvel,181,8.23,Successful ,2020,116,M,8.23,41,47,47
5018495,2.02E+15,Panvel,163,7.41,Successful ,2020,116,M,7.41,43,50,39
5018496,2.02E+15,Panvel,151,6.86,Successful ,2020,116,F,6.86,50,45,46
5018497,2.02E+15,Panvel,217,9.86,Successful ,2020,116,F,9.86,37,50,38
5018498,2.02E+15,Panvel,211,9.59,Successful ,2020,116,M,9.59,45,46,40
5018499,2.02E+15,Panvel,166,7.55,Successful ,2020,116,F,7.55,46,45,39
5018500,2.02E+15,Panvel,199,9.05,Successful ,2019,116,F,9.05,37,45,38
5018501,2.02E+15,Panvel,175,7.95,Successful ,2018,116,M,7.95,49,46,45
5018502,2.02E+15,Panvel,181,8.23,Successful ,2020,116,M,8.23,43,50,42
5018503,2.02E+15,Panvel,202,9.18,Successful ,2019,116,M,9.18,39,45,50
5018504,2.02E+15,Panvel,169,7.68,Successful ,2019,116,F,7.68,39,48,38
5018505,2.02E+15,Panvel,169,7.68,Successful ,2020,116,M,7.68,35,50,46
5018506,2.02E+15,Panvel,149,6.77,Successful ,2020,116,M,6.77,37,49,40
5018507,2.02E+15,Panvel,0,0,Unsuccessful ,2020,116,M,0,47,48,46
5018508,2.02E+15,Panvel,172,7.82,Successful ,2020,116,M,7.82,47,47,49
5018509,2.02E+15,Panvel,148,6.73,Successful ,2020,116,M,6.73,35,49,38
5018510,2.02E+15,Panvel,176,8,Successful ,2020,116,F,8,46,48,38
5018511,2.02E+15,Panvel,0,0,Unsuccessful ,2020,116,M,0,35,48,37
5018512,2.02E+15,Panvel,166,7.55,Successful ,2020,116,M,7.55,40,46,39
5018513,2.02E+15,Panvel,193,8.77,Successful ,2019,116,M,8.77,37,50,41
5018514,2.02E+15,Panvel,0,0,Unsuccessful ,2019,116,M,0,39,48,44
5018515,2.02E+15,Panvel,152,6.91,Successful ,2020,116,F,6.91,46,48,35
5018516,2.02E+15,Panvel,163,7.41,Successful ,2019,116,M,7.41,44,47,46
5018517,2.02E+15,Panvel,160,7.27,Successful ,2020,116,F,7.27,41,47,35
5018518,2.02E+15,Panvel,0,0,Unsuccessful ,2020,116,F,0,37,47,48
5018519,2.02E+15,Panvel,151,6.86,Successful ,2020,116,F,6.86,50,47,47
5018520,2.02E+15,Panvel,187,8.5,Successful ,2020,116,M,8.5,42,48,35
5018521,2.02E+15,Panvel,0,0,Unsuccessful ,2019,116,M,0,48,46,40
5018522,2.02E+15,Panvel,154,7,Successful ,2020,116,M,7,44,49,45
5018523,2.02E+15,Panvel,178,8.09,Successful ,2020,116,F,8.09,36,49,39
5018524,2.02E+15,Panvel,178,8.09,Successful ,2020,116,M,8.09,43,48,50
5018525,2.02E+15,Panvel,136,6.18,Successful ,2020,116,M,6.18,39,45,43
5018526,2.02E+15,Panvel,0,0,Unsuccessful ,2020,116,M,0,40,46,49
5018527,2.02E+15,Panvel,160,7.27,Successful ,2020,116,M,7.27,47,48,48
5018528,2.02E+15,Panvel,175,7.95,Successful ,2020,116,F,7.95,36,50,35
5018529,2.02E+15,Panvel,172,7.82,Successful ,2020,116,M,7.82,37,48,37
5018530,2.02E+15,Panvel,169,7.68,Successful ,2020,116,F,7.68,50,49,38
5018531,2.02E+15,Panvel,0,0,Unsuccessful ,2020,116,M,0,39,45,45
5018532,2.02E+15,Panvel,193,8.77,Successful ,2020,116,F,8.77,46,48,37
5018533,2.02E+15,Panvel,141,6.41,Successful ,2020,116,F,6.41,38,50,47
5018534,2.02E+15,Panvel,162,7.36,Successful ,2020,116,M,7.36,40,46,50
5018535,2.02E+15,Panvel,0,0,Unsuccessful ,2020,116,M,0,41,45,47
5018536,2.02E+15,Panvel,132,6,Successful ,2020,116,M,6,42,47,40
5018537,2.02E+15,Panvel,166,7.55,Successful ,2019,116,M,7.55,50,50,38
5018538,2.02E+15,Panvel,151,6.86,Successful ,2019,116,M,6.86,50,49,48
5018539,2.02E+15,Panvel,0,0,Unsuccessful ,2020,116,M,0,42,46,40
5018540,2.02E+15,Panvel,0,0,Unsuccessful ,2020,116,F,0,42,48,36
5018541,2.02E+15,Panvel,172,7.82,Successful ,2020,116,M,7.82,37,47,37
5018542,2.02E+15,Panvel,0,0,Unsuccessful ,2020,116,M,0,42,47,43
5018543,2.02E+15,Panvel,186,8.45,Successful ,2020,116,M,8.45,40,45,38
5018544,2.02E+15,Panvel,175,7.95,Successful ,2020,116,F,7.95,39,45,50
5018545,2.02E+15,Panvel,0,0,Unsuccessful ,2020,116,M,0,37,47,50
5018546,2.02E+15,Panvel,181,8.23,Successful ,2019,116,M,8.23,45,47,49
5018547,2.02E+15,Panvel,0,0,Unsuccessful ,2018,116,M,0,46,49,36
5018548,2.02E+15,Panvel,181,8.23,Successful ,2020,116,M,8.23,41,46,39
5018549,2.02E+15,Panvel,157,7.14,Successful ,2020,116,M,7.14,42,48,36
5018550,2.02E+15,Panvel,190,8.64,Successful ,2019,116,M,8.64,37,50,37
5018551,2.02E+15,Panvel,0,0,Unsuccessful ,2020,116,M,0,43,49,41
5018552,2.02E+15,Panvel,187,8.5,Successful ,2020,116,M,8.5,37,48,37
5018553,2.02E+15,Panvel,178,8.09,Successful ,2020,116,F,8.09,37,48,45
5018554,2.02E+15,Panvel,0,0,Unsuccessful ,2020,116,M,0,46,48,36
5018555,2.02E+15,Panvel,154,7,Successful ,2020,116,M,7,48,47,39
5018556,2.02E+15,Panvel,0,0,Unsuccessful ,2020,116,M,0,38,45,47
5018557,2.02E+15,Panvel,166,7.55,Successful ,2020,116,M,7.55,40,47,49
5018558,2.02E+15,Panvel,169,7.68,Successful ,2020,116,F,7.68,37,45,45
5018559,2.02E+15,Panvel,157,7.14,Successful ,2019,116,M,7.14,46,50,42
5018560,2.02E+15,Panvel,190,8.64,Successful ,2019,116,F,8.64,44,48,37
5018561,2.02E+15,Panvel,0,0,Unsuccessful ,2019,116,M,0,45,45,46
5235215,2.02E+15,Panvel,0,0,RR ,2020,116,F,0,46,48,42
5018562,2.02E+15,Panvel,0,0,Unsuccessful ,2020,124,M,0,38,46,50
5018563,2.02E+15,Panvel,0,0,Unsuccessful ,2020,124,M,0,43,46,41
5018564,2.02E+15,Panvel,172,7.82,Successful ,2019,124,F,7.82,35,46,45
5018565,2.02E+15,Panvel,181,8.23,Successful ,2019,124,F,8.23,41,49,41
5018566,2.02E+15,Panvel,0,0,Unsuccessful ,2020,124,M,0,47,50,45
5018567,2.02E+15,Panvel,0,0,Unsuccessful ,2019,124,M,0,45,45,49
5018568,2.02E+15,Panvel,158,7.18,Successful ,2019,124,M,7.18,45,50,39
5018569,2.02E+15,Panvel,148,6.73,Successful ,2018,124,M,6.73,44,48,43
5018570,2.02E+15,Panvel,160,7.27,Successful ,2019,124,M,7.27,35,49,50
5018571,2.02E+15,Panvel,169,7.68,Successful ,2019,124,M,7.68,39,47,36
5018572,2.02E+15,Panvel,160,7.27,Successful ,2020,124,M,7.27,42,48,40
5018573,2.02E+15,Panvel,142,6.45,Successful ,2019,124,F,6.45,44,49,43
5018574,2.02E+15,Panvel,178,8.09,Successful ,2019,124,M,8.09,47,49,36
5018575,2.02E+15,Panvel,0,0,Unsuccessful ,2020,124,F,0,36,50,42
5018576,2.02E+15,Panvel,154,7,Successful ,2020,124,M,7,40,45,46
5018577,2.02E+15,Panvel,147,6.68,Successful ,2020,124,F,6.68,36,46,36
5018578,2.02E+15,Panvel,180,8.18,Successful ,2020,124,F,8.18,42,50,46
5018579,2.02E+15,Panvel,170,7.73,Successful ,2020,124,M,7.73,41,50,42
5018580,2.02E+15,Panvel,181,8.23,Successful ,2019,124,M,8.23,45,45,39
5018581,2.02E+15,Panvel,170,7.73,Successful ,2020,124,M,7.73,42,49,35
5018582,2.02E+15,Panvel,0,0,Unsuccessful ,2018,124,M,0,36,49,48
5018583,2.02E+15,Panvel,177,8.05,Successful ,2020,124,M,8.05,48,45,35
5018584,2.02E+15,Panvel,181,8.23,Successful ,2019,124,M,8.23,46,50,41
5018585,2.02E+15,Panvel,153,6.95,Successful ,2019,124,F,6.95,35,46,44
5018586,2.02E+15,Panvel,134,6.09,Successful ,2020,124,M,6.09,37,46,37
5018587,2.02E+15,Panvel,185,8.41,Successful ,2020,124,F,8.41,49,47,37
5018588,2.02E+15,Panvel,165,7.5,Successful ,2019,124,M,7.5,50,45,43
5018589,2.02E+15,Panvel,163,7.41,Successful ,2018,124,M,7.41,41,47,35
5018590,2.02E+15,Panvel,185,8.41,Successful ,2019,124,M,8.41,44,47,47
5018591,2.02E+15,Panvel,0,0,Unsuccessful ,2018,124,M,0,45,49,35
5018592,2.02E+15,Panvel,0,0,Unsuccessful ,2020,124,M,0,47,48,43
5018593,2.02E+15,Panvel,175,7.95,Successful ,2018,124,M,7.95,40,50,36
5018594,2.02E+15,Panvel,0,0,Unsuccessful ,2020,124,F,0,39,47,48
5018595,2.02E+15,Panvel,148,6.73,Successful ,2020,124,M,6.73,46,49,48
5018596,2.02E+15,Panvel,166,7.55,Successful ,2019,124,M,7.55,48,49,48
5018597,2.02E+15,Panvel,181,8.23,Successful ,2020,124,F,8.23,41,46,38
5018598,2.02E+15,Panvel,174,7.91,Successful ,2020,124,F,7.91,37,48,43
5018599,2.02E+15,Panvel,144,6.55,Successful ,2020,124,M,6.55,37,47,41
5018600,2.02E+15,Panvel,187,8.5,Successful ,2019,124,F,8.5,36,50,45
5018601,2.02E+15,Panvel,146,6.64,Successful ,2020,124,F,6.64,47,49,39
5018602,2.02E+15,Panvel,156,7.09,Successful ,2020,124,F,7.09,36,49,35
5018603,2.02E+15,Panvel,187,8.5,Successful ,2019,124,F,8.5,41,48,35
5018604,2.02E+15,Panvel,181,8.23,Successful ,2019,124,M,8.23,47,45,49
5018605,2.02E+15,Panvel,0,0,Unsuccessful ,2020,124,F,0,46,47,36
5018606,2.02E+15,Panvel,192,8.73,Successful ,2019,124,F,8.73,35,50,46
5018607,2.02E+15,Panvel,168,7.64,Successful ,2018,124,M,7.64,50,47,49
5018608,2.02E+15,Panvel,173,7.86,Successful ,2019,124,M,7.86,36,45,40
5018609,2.02E+15,Panvel,181,8.23,Successful ,2018,124,M,8.23,48,48,39
5018610,2.02E+15,Panvel,0,0,Unsuccessful ,2018,124,M,0,48,45,49
5018611,2.02E+15,Panvel,160,7.27,Successful ,2020,124,F,7.27,45,50,46
5018612,2.02E+15,Panvel,163,7.41,Successful ,2019,124,F,7.41,41,49,35
5018613,2.02E+15,Panvel,187,8.5,Successful ,2019,124,F,8.5,42,48,47
5018614,2.02E+15,Panvel,163,7.41,Successful ,2019,124,M,7.41,40,50,49
5018615,2.02E+15,Panvel,205,9.32,Successful ,2020,124,F,9.32,46,49,45
5018616,2.02E+15,Panvel,159,7.23,Successful ,2018,124,M,7.23,47,49,47
5018617,2.02E+15,Panvel,163,7.41,Successful ,2020,124,F,7.41,42,50,48
5018618,2.02E+15,Panvel,0,0,Unsuccessful ,2020,124,M,0,38,46,44
5018619,2.02E+15,Panvel,198,9,Successful ,2019,124,F,9,45,49,37
5018620,2.02E+15,Panvel,199,9.05,Successful ,2019,124,F,9.05,37,46,46
5018621,2.02E+15,Panvel,162,7.36,Successful ,2020,124,M,7.36,40,47,47
5018622,2.02E+15,Panvel,168,7.64,Successful ,2020,124,M,7.64,48,49,47
5018623,2.02E+15,Panvel,166,7.55,Successful ,2019,124,M,7.55,47,49,49
5018624,2.02E+15,Panvel,0,0,Unsuccessful ,2019,124,M,0,46,48,49
5018625,2.02E+15,Panvel,0,0,Unsuccessful ,2020,124,M,0,35,45,46
5018626,2.02E+15,Panvel,166,7.55,Successful ,2019,124,M,7.55,41,50,38
5018627,2.02E+15,Panvel,138,6.27,Successful ,2019,124,M,6.27,44,50,37
5018628,2.02E+15,Panvel,0,0,Unsuccessful ,2017,124,F,0,46,45,37
5018629,2.02E+15,Panvel,141,6.41,Successful ,2019,124,M,6.41,46,50,47
5018630,2.02E+15,Panvel,0,0,Unsuccessful ,2020,124,M,0,36,48,50
5018631,2.02E+15,Panvel,173,7.86,Successful ,2019,124,F,7.86,47,48,44
5018632,2.02E+15,Panvel,171,7.77,Successful ,2020,124,M,7.77,50,47,45
5018633,2.02E+15,Panvel,169,7.68,Successful ,2019,124,F,7.68,39,48,38
5018634,2.02E+15,Panvel,152,6.91,Successful ,2019,124,M,6.91,43,46,45
5018635,2.02E+15,Panvel,0,0,Unsuccessful ,2019,124,M,0,46,47,50
5018636,2.02E+15,Panvel,164,7.45,Successful ,2020,124,M,7.45,46,50,39
5018637,2.02E+15,Panvel,161,7.32,Successful ,2020,124,M,7.32,50,45,40
5018638,2.02E+15,Panvel,187,8.5,Successful ,2019,124,M,8.5,45,46,47
5018639,2.02E+15,Panvel,0,0,Unsuccessful ,2019,124,M,0,43,45,35
5018640,2.02E+15,Panvel,166,7.55,Successful ,2020,124,F,7.55,48,46,39
5018641,2.02E+15,Panvel,163,7.41,Successful ,2020,124,M,7.41,39,46,50
5018642,2.02E+15,Panvel,202,9.18,Successful ,2019,124,F,9.18,47,47,50
5018643,2.02E+15,Panvel,162,7.36,Successful ,2019,124,M,7.36,41,48,49
5018644,2.02E+15,Panvel,178,8.09,Successful ,2019,124,M,8.09,37,45,47
5018645,2.02E+15,Panvel,169,7.68,Successful ,2020,124,F,7.68,49,45,42
5018646,2.02E+15,Panvel,164,7.45,Successful ,2019,124,M,7.45,45,47,39
5018647,2.02E+15,Panvel,181,8.23,Successful ,2019,124,F,8.23,44,47,43
5018648,2.02E+15,Panvel,152,6.91,Successful ,2019,124,M,6.91,41,48,47
5018649,2.02E+15,Panvel,168,7.64,Successful ,2020,124,M,7.64,46,50,45
5018650,2.02E+15,Panvel,166,7.55,Successful ,2019,124,F,7.55,48,46,43
5018651,2.02E+15,Panvel,152,6.91,Successful ,2020,124,M,6.91,38,48,47
5018652,2.02E+15,Panvel,173,7.86,Successful ,2019,124,M,7.86,50,47,35
5018653,2.01E+15,Panvel,151,6.86,Successful ,2014,124,M,6.86,37,48,46
5018654,2.02E+15,Panvel,181,8.23,Successful ,2020,124,M,8.23,43,48,45
5018655,2.02E+15,Panvel,177,8.05,Successful ,2019,124,F,8.05,36,47,50
5018656,2.02E+15,Panvel,151,6.86,Successful ,2020,124,F,6.86,49,46,40
5018657,2.02E+15,Panvel,166,7.55,Successful ,2019,124,M,7.55,48,50,39
5018658,2.02E+15,Panvel,204,9.27,Successful ,2019,124,M,9.27,37,46,39
5018659,2.02E+15,Panvel,199,9.05,Successful ,2019,124,F,9.05,49,47,39
5018660,2.02E+15,Panvel,0,0,Unsuccessful ,2020,124,M,0,38,50,46
5018661,2.02E+15,Panvel,177,8.05,Successful ,2020,124,F,8.05,38,46,39
5018662,2.02E+15,Panvel,172,7.82,Successful ,2019,124,M,7.82,41,50,45
5018663,2.02E+15,Panvel,191,8.68,Successful ,2019,124,M,8.68,45,46,40
5018664,2.02E+15,Panvel,178,8.09,Successful ,2020,124,M,8.09,39,47,42
5018665,2.02E+15,Panvel,181,8.23,Successful ,2020,124,M,8.23,46,47,50
5018666,2.02E+15,Panvel,175,7.95,Successful ,2019,124,M,7.95,50,48,45
5018667,2.02E+15,Panvel,159,7.23,Successful ,2019,124,M,7.23,40,49,48
5018668,2.02E+15,Panvel,184,8.36,Successful ,2019,124,F,8.36,50,48,36
5018669,2.02E+15,Panvel,170,7.73,Successful ,2020,124,M,7.73,37,48,44
5018670,2.02E+15,Panvel,162,7.36,Successful ,2018,124,F,7.36,45,50,38
5018671,2.02E+15,Panvel,0,0,Unsuccessful ,2018,124,M,0,35,49,37
5018672,2.02E+15,Panvel,150,6.82,Successful ,2019,124,M,6.82,41,47,35
5018673,2.02E+15,Panvel,0,0,Unsuccessful ,2020,124,M,0,48,46,47
5018674,2.02E+15,Panvel,166,7.55,Successful ,2020,124,F,7.55,39,48,39
5018675,2.02E+15,Panvel,172,7.82,Successful ,2020,124,F,7.82,41,45,45
5018676,2.02E+15,Panvel,158,7.18,Successful ,2019,124,M,7.18,49,49,37
5018677,2.02E+15,Panvel,151,6.86,Successful ,2019,124,M,6.86,36,49,35
5018678,2.02E+15,Panvel,181,8.23,Successful ,2019,124,F,8.23,48,46,48
5018679,2.02E+15,Panvel,160,7.27,Successful ,2019,124,M,7.27,42,48,50
5018680,2.02E+15,Panvel,172,7.82,Successful ,2019,124,F,7.82,45,47,45
5018681,2.02E+15,Panvel,173,7.86,Successful ,2019,124,M,7.86,45,47,39
5018682,2.02E+15,Panvel,169,7.68,Successful ,2019,124,M,7.68,50,45,47
5018683,2.02E+15,Panvel,152,6.91,Successful ,2020,124,M,6.91,50,48,46
5018684,2.02E+15,Panvel,169,7.68,Successful ,2019,124,M,7.68,41,49,47
5018685,2.02E+15,Panvel,157,7.14,Successful ,2018,124,M,7.14,45,45,40
5018686,2.02E+15,Panvel,167,7.59,Successful ,2019,124,F,7.59,45,47,47
5018687,2.02E+15,Panvel,175,7.95,Successful ,2019,124,F,7.95,40,49,37
5018688,2.02E+15,Panvel,186,8.45,Successful ,2019,124,M,8.45,37,45,45
5018689,2.02E+15,Panvel,146,6.64,Successful ,2019,124,F,6.64,35,46,45
5018690,2.02E+15,Panvel,178,8.09,Successful ,2019,124,M,8.09,45,48,45
5018691,2.02E+15,Panvel,171,7.77,Successful ,2019,124,M,7.77,50,50,48
5018692,2.02E+15,Panvel,131,5.95,Successful ,2019,124,M,5.95,40,49,37
5018693,2.02E+15,Panvel,149,6.77,Successful ,2020,124,M,6.77,40,45,43
